Description	Alu-intron	Alu-nearest_tss	Alu-5kb_outside_upstream	Alu-5kb	L1-intron	L1-nearest_tss	L1-5kb_outside_upstream	L1-5kb
mammary gland duct morphogenesis	-0.780203094	0.020450358	0.080612961	-1.41040074	-1.366470166	-0.917490661	-0.542718975	-1.673840822
mammary gland epithelium development	-1.245880854	0.023748301	0.264964607	-2.169953195	-2.527254514	-2.157893342	-0.664994071	-2.833927747
mammary gland lobule development	-2.524897907	-1.512381817	-0.895411366	-4.081608081	-0.459445938	-0.164713657	0.031345711	-0.599792046
mammary gland morphogenesis	-1.037757141	-0.026047339	-0.024487154	-1.929084873	-1.5592819	-0.70607333	-0.366780513	-2.071043493
mechanoreceptor differentiation	-1.41076822	-0.306899401	-0.088289756	-2.493468505	-2.615154871	-1.198328147	-0.367061636	-2.991931259
meiosis I	1.95775419	1.194830346	0.624207189	3.280109985	1.917895402	0.301474837	0.467248067	1.105235574
meiotic cell cycle	1.619112073	1.253713161	0.935103086	2.829701063	3.207259123	0.368765712	0.452094159	0.991266436
meiotic cell cycle process	1.747603406	1.038153077	0.644526925	3.054618404	2.15257952	0.183330327	0.318736775	1.072758379
meiotic nuclear division	1.843139779	1.139008416	0.59006287	3.321683875	2.529163906	0.298906463	0.396573763	1.18437708
membrane depolarization	-1.109846488	-0.098927076	-0.322507962	-0.880907769	-2.725939554	-3.408904234	-0.844100128	-1.480865423
membrane depolarization during action potential	-1.919373663	-0.381693761	-0.826805469	-1.856021655	-1.996356504	-2.447319069	-0.978040664	-1.358475377
membrane depolarization during cardiac muscle cell action potential	-1.151846378	-0.194069328	-0.302738075	-1.811955778	-1.669387384	-1.480641217	-0.865136579	-2.079118828
membrane disassembly	2.285796707	2.180857376	1.696912983	2.65999473	0.465403906	0.156529988	0.244209334	0.526620868
membrane repolarization	-1.032073183	-0.186210759	-0.110214129	-1.212335981	-2.370826242	-2.811608823	-1.307265194	-3.568965282
mesenchymal cell development	-3.239193068	-1.181961382	-0.486989195	-6.147719886	-4.74172434	-3.159780255	-0.521913441	-3.840976903
mesenchymal cell differentiation	-6.2763113	-1.456129227	-0.445603723	-9.381110273	-9.738319056	-7.106145065	-1.60863613	-6.710009501
mesenchymal cell proliferation	-4.611145108	-1.334319822	-1.278039435	-8.851526546	-3.52682225	-2.210301025	-0.407684986	-3.701756906
mesenchymal to epithelial transition	-2.332194244	-0.312206292	-0.112894359	-5.110811018	-2.746996125	-2.169850314	-1.092914418	-1.449193714
mesenchyme development	-4.83496226	-1.114125285	-0.187709022	-9.367554777	-10.33141439	-6.864004189	-1.206084172	-8.742540087
mesenchyme morphogenesis	-3.686939647	-1.472385266	-0.977999543	-6.389500186	-0.737789815	-1.384908861	-0.421615119	-1.468776437
mesoderm development	-1.390293018	-0.088560195	0.183512781	-3.602869086	-1.238826971	-1.224486445	-0.332214095	-2.007808365
mesonephric epithelium development	-7.985578682	-1.841485468	-0.747228302	-13.44241629	-5.009001054	-5.242637635	-1.931181237	-5.185370312
mesonephric tubule development	-7.985578682	-1.841485468	-0.747228302	-13.44241629	-5.009001054	-5.242637635	-1.931181237	-5.185370312
mesonephric tubule morphogenesis	-6.611995708	-1.526437194	-0.771521643	-11.54642459	-3.343521268	-3.231857911	-0.960919539	-3.19699755
mesonephros development	-8.807779533	-2.219724255	-0.95084055	-14.0696242	-5.866579659	-5.988257864	-2.521816617	-6.046087445
metanephric epithelium development	-1.522106715	-1.19063473	-1.03936124	-2.693740073	-4.580375403	-4.870567417	-2.03388537	-3.058874584
metanephric glomerulus development	-1.84597645	-0.806042905	-0.286943588	-2.828463695	-1.410603916	-0.87486183	-0.217016817	-2.137560932
metanephric nephron development	-4.054078751	-1.866124435	-0.978739058	-9.384613938	-3.380944353	-3.702890533	-1.365560241	-3.007869904
metanephric nephron epithelium development	-1.265027035	-1.120717289	-0.901029295	-2.497339405	-3.915571225	-3.992450755	-1.921375985	-2.691647199
metanephric nephron morphogenesis	-2.529795062	-0.964660857	-0.577447047	-6.505282951	-3.472822135	-4.714776462	-1.586659505	-2.247615729
metanephric nephron tubule development	-1.09275995	-1.111197546	-1.149509974	-2.986415773	-4.164618033	-4.179771396	-1.734040615	-2.476617357
metanephric renal vesicle morphogenesis	-1.704050303	-0.364397913	-0.164537159	-4.326902387	-1.579704639	-1.898194957	-0.865136579	-0.599792046
metanephric tubule development	-1.281804499	-1.243570707	-1.276974419	-3.157682418	-4.765683412	-5.070646077	-2.09089977	-2.670702628
metanephros development	-5.681222323	-1.71682925	-1.168312548	-13.90898371	-5.32834066	-4.339582484	-2.611610045	-4.055508742
metanephros morphogenesis	-3.06404442	-1.26955419	-0.771664826	-8.636289871	-4.220898663	-3.247541632	-1.355663775	-2.354385394
methylation	3.258380474	5.900629368	5.882898248	3.481302076	0.742904833	0.03240075	-0.176395097	0.565794714
methylation-dependent chromatin silencing	1.664392946	1.943762154	1.894532592	3.008288817	0.218702672	0.715794697	0.029805896	0.945934053
microtubule cytoskeleton organization	3.063431271	4.027513762	2.943470989	3.908663102	0.635592728	0.007669016	0.176395097	0.426537371
microtubule organizing center organization	0.754076042	1.138000482	0.987067107	1.608926052	2.864427279	2.797564399	1.418149176	3.278605475
microtubule-based movement	1.763879717	2.65353582	1.631188093	1.962426333	0.860485091	0.033515993	0.166701351	0.260915367
middle ear morphogenesis	-1.929516067	-1.427383556	-0.700564713	-3.741806501	-1.387333567	-1.898772182	-0.694358739	-3.151368419
mismatch repair	2.152597512	1.610440278	0.654890164	1.705810531	-0.01710913	-0.290945373	-0.251144957	-0.02095486
mitochondrial ATP synthesis coupled electron transport	4.417345885	3.783603722	1.461507551	7.064082867	0.619234033	1.359161142	0.571455619	0.998346019
"mitochondrial electron transport, NADH to ubiquinone"	2.162034607	1.637614143	0.475985043	3.32080159	0.148130702	0.210288314	0.127309275	0.410351665
mitochondrial membrane organization	1.567209681	3.439062601	1.551594657	2.261572442	0.010825217	-0.223869418	-0.027829931	0.091852212
mitochondrial respiratory chain complex assembly	2.163884555	1.379134684	0.498861618	3.295798321	0.912795621	0.983397003	0.064232474	0.381854054
mitochondrial respiratory chain complex I assembly	2.073273866	1.32336919	0.385079975	2.783937308	1.038090044	0.837977023	0.313770947	0.442251053
mitochondrial respiratory chain complex I biogenesis	2.073273866	1.32336919	0.385079975	2.783937308	1.038090044	0.837977023	0.313770947	0.442251053
mitochondrial translation	3.371608853	2.199549674	0.017273911	6.352510032	1.629794284	0.252452791	-0.432780215	0.621358876
mitochondrial translational elongation	2.72233957	1.307342204	-0.301567961	3.922477606	1.10875186	0.388929507	-0.089012083	0.297786779
mitochondrial translational termination	2.626373427	1.248354068	-0.272180748	4.008139354	1.322810785	0.365214968	-0.095566918	0.285729822
mitochondrial transmembrane transport	3.968176721	2.600116971	2.334934472	3.411497039	-0.003986495	-0.015071965	-0.012720048	0.313522427
mitochondrial transport	3.58634969	3.563562515	3.609593274	3.370218262	0.067274739	-0.364457955	0.091262615	-0.025448786
mitotic cell cycle checkpoint	2.43367206	2.429735718	1.768965513	3.302566992	0.72671572	0.297546096	0.215496871	0.534963802
mitotic cell cycle phase transition	3.172300137	7.373252036	5.775957777	5.417404684	0.625618339	-0.445271978	-0.161346458	0.510272668
mitotic DNA damage checkpoint	1.6172206	1.841044138	1.883620984	2.492551181	0.250708161	-0.023075905	0.140191626	0.086914532
mitotic DNA integrity checkpoint	1.693026359	1.921695058	1.950761202	2.696397302	0.195130153	-0.063034625	0.133412121	0.040122943
mitotic G1 DNA damage checkpoint	1.029561462	1.506928361	1.449069619	1.939722389	0.218172348	0.008852736	0.395792521	-0.005471306
mitotic G1/S transition checkpoint	1.029561462	1.506928361	1.449069619	1.939722389	0.218172348	0.008852736	0.395792521	-0.005471306
mitotic nuclear division	5.31225042	7.048674461	4.99202442	7.571072147	2.322334372	0.249158472	0.395054926	0.959996102
mitotic nuclear envelope disassembly	2.037461698	1.873098927	1.316058233	2.434042191	0.511088826	0.143415691	0.210026637	0.542791969
mitotic recombination	2.037843286	2.044485171	0.800374777	2.47879149	0.196594098	-0.023814141	-0.286814022	1.390590815
mitotic sister chromatid segregation	1.33940622	1.842944193	1.093922317	1.631307413	0.901792486	0.107642622	0.04711771	0.399415483
modulation by host of symbiont transcription	1.845929242	1.800913208	3.441407334	1.274786923	-1.115703739	-1.157572595	-0.231132629	-0.675497787
modulation by host of viral transcription	1.845929242	1.800913208	3.441407334	1.274786923	-1.115703739	-1.157572595	-0.231132629	-0.675497787
modulation of excitatory postsynaptic potential	-0.916341752	-0.169967088	0.080751599	-2.312797692	-2.769925805	-1.473160854	-0.401428538	-4.19184425
modulation of synaptic transmission	-2.882515161	-0.296384137	0.041059209	-4.976437583	-6.486994947	-4.574437819	-0.839045177	-7.430589998
modulation of transcription in other organism involved in symbiotic interaction	1.647925812	1.637899931	3.186590359	1.089036645	-1.337765923	-1.353998951	-0.373677203	-0.790861912
molting cycle	-2.060687785	-1.295018099	-0.739040149	-3.282121442	-1.419453988	-0.609210724	-0.101138205	-2.629348795
molting cycle process	-2.386519115	-0.932882638	-0.58708045	-3.514079866	-1.438120242	-0.923832734	-0.26139094	-2.375035952
monoamine transport	-2.987556339	-3.412520198	-2.6958932	-3.879453957	-0.634160896	0.012226918	0.170952289	-0.781495032
mononuclear cell proliferation	-2.487223643	-1.605131386	-1.106508422	-2.019151722	0.347966866	0.178914063	-0.121517647	0.97206452
monovalent inorganic cation transport	-3.864002051	-1.3617316	-1.188231286	-2.989205649	-1.973925333	-3.519818405	-0.323228656	-4.298613094
morphogenesis of a branching epithelium	-7.588058864	-1.664171567	-0.740911614	-12.31357538	-12.67484333	-5.650158548	-2.057493942	-7.967101508
morphogenesis of a branching structure	-7.795383547	-1.490553331	-0.577447047	-12.99815498	-12.88440581	-5.466321167	-2.154713014	-8.399033154
morphogenesis of an epithelial fold	-2.342311211	-0.910243492	-1.035691764	-3.320190727	-1.393869115	-0.252979161	-0.039122399	-0.864248053
morphogenesis of embryonic epithelium	-0.646873974	0.019034932	0.097836123	-2.528966275	-2.437070121	-2.237026734	-0.953729091	-1.171655535
motor neuron axon guidance	-3.932255538	-0.896200326	-0.256700667	-6.2609666	-6.650593172	-2.644674418	-1.154548448	-2.291765191
mRNA 3'-end processing	1.614122063	1.826141508	1.476730467	2.314320817	0.156223568	-0.414791818	-0.0475376	-0.100787834
mRNA catabolic process	7.580526891	10.03385528	5.015333206	12.33034203	0.242823624	-0.25402095	-0.148152457	-0.076632912
mRNA export from nucleus	3.099715907	3.498752469	2.561687917	4.225841478	1.503271654	-0.001267373	0.018892086	0.981304201
mRNA processing	8.005061839	11.28474342	9.335446578	11.83716218	0.116443272	-1.051911771	-0.131536012	-0.805496238
"mRNA splicing, via spliceosome"	6.611995708	8.935663627	8.347205203	8.513725304	0.025874333	-0.620583353	-0.00049359	-0.547461399
mRNA transport	3.007411797	3.99033601	2.836206141	3.957095865	1.191738746	-0.043685966	-0.096063962	0.760045999
mRNA-containing ribonucleoprotein complex export from nucleus	3.099715907	3.498752469	2.561687917	4.225841478	1.503271654	-0.001267373	0.018892086	0.981304201
mucopolysaccharide metabolic process	-2.436635212	-0.504469154	-0.205036166	-2.03767768	-2.298338386	-0.94101804	-0.467248067	-0.840178593
multi-multicellular organism process	-3.169455511	-2.600116971	-2.015536121	-2.261460981	-0.758169826	-0.547265789	-0.267245507	-0.794122615
multi-organism cellular localization	1.660018281	2.842257753	3.25055412	3.372779179	3.496614449	1.269428049	0.213442219	0.869319463
multi-organism intracellular transport	1.660018281	2.842257753	3.25055412	3.372779179	3.496614449	1.269428049	0.213442219	0.869319463
multi-organism localization	1.531847146	2.543348958	2.939810444	3.031904003	2.971198987	1.015641946	0.237062047	0.71645843
multi-organism metabolic process	8.36227288	9.107171262	5.790855277	12.26556491	-0.043741467	-0.291076699	-0.175154148	0.192330798
multi-organism transport	1.531847146	2.543348958	2.939810444	3.031904003	2.971198987	1.015641946	0.237062047	0.71645843
multicellular organism catabolic process	-6.466595442	-4.005675771	-3.299838143	-6.325978241	-3.526383883	-1.093055619	-0.626223778	-3.787689378
multicellular organism metabolic process	-7.165829115	-3.865303511	-3.186590359	-6.138803774	-5.465459901	-2.394463791	-0.715910129	-5.861306195
multicellular organismal homeostasis	-5.006868582	-2.543348958	-1.266467088	-3.091201374	-1.159452629	-0.314373178	0.091631865	-1.021688613
multicellular organismal macromolecule metabolic process	-6.924932581	-3.953974245	-3.067996941	-6.325978241	-4.373689473	-1.929254302	-0.655623092	-5.102778861
multicellular organismal signaling	-0.690865566	-0.325228709	-0.615580089	-4.03375321	-5.661340278	-6.526791537	-1.722930169	-5.956832185
muscle adaptation	-0.109172808	0.329868167	0.817645267	-0.34466664	-3.395656437	-3.10506557	-1.614835871	-1.622902931
muscle cell development	-1.160173572	-0.406831039	-0.136469757	-2.658575256	-3.15874751	-2.237970789	-0.272693034	-2.408236496
muscle cell differentiation	-1.887882912	-0.278123326	0.061357843	-5.399762089	-9.144992429	-6.345143504	-0.866893902	-9.084694114
muscle cell migration	-2.30032386	-0.229192272	0.067065503	-1.371437489	-1.329575198	-1.396958441	-0.117289303	-1.22626601
muscle cell proliferation	-4.378003329	-0.810424257	-0.113330978	-5.827685216	-5.862356994	-2.279356038	-1.116003727	-4.808838894
muscle contraction	-2.959622117	-1.310326438	-0.769187785	-3.831350564	-3.902755881	-4.714776462	-0.23678319	-6.752572955
muscle hypertrophy	-0.652079078	-0.058753962	0.018939007	-1.7387156	-2.862086953	-2.07585761	-0.983866013	-1.532531236
muscle organ development	-7.570528374	-1.723709346	-0.121416459	-13.26645641	-10.1083655	-7.601085422	-1.758114102	-10.16749276
muscle organ morphogenesis	-2.460466446	-1.475895267	-1.256294572	-7.802453116	-4.45448036	-3.221877795	-1.390221394	-5.039525271
muscle system process	-2.879844106	-0.754762958	-0.182676115	-4.705237158	-6.313502893	-6.156079015	-0.5342261	-7.620466038
muscle tissue development	-6.8785644	-1.530267311	-0.207486563	-12.55004966	-7.516857832	-7.274267239	-1.784216715	-8.765021129
muscle tissue morphogenesis	-2.524897907	-1.516826402	-1.204889813	-6.19277372	-4.191873399	-3.015829881	-1.202418477	-4.139990901
myeloid cell homeostasis	-0.258561235	0.298742391	0.154947963	0.161688257	-3.406062538	-2.18614207	-0.439700262	-2.418503819
myoblast differentiation	-0.515473351	-0.445794704	-0.144759942	-2.159879673	-1.799674212	-0.920072625	-0.610305343	-2.512397899
myotube differentiation	-0.39332945	-0.284903593	-0.181954204	-1.223367476	-1.692224089	-2.085723882	-0.13289784	-3.602088739
NADH dehydrogenase complex assembly	2.073273866	1.32336919	0.385079975	2.783937308	1.038090044	0.837977023	0.313770947	0.442251053
ncRNA processing	6.509008331	6.554217976	2.315615406	15.10430214	2.658260308	0.203511603	-0.094495392	1.201355759
ncRNA transcription	3.962864864	3.302103548	1.603808016	4.020566143	0.704411091	0.229170596	0.064232474	0.69060046
negative chemotaxis	-1.767309146	-0.265235716	-0.237881162	-4.189327936	-4.000567029	-0.359484433	-0.090153	-3.873364812
negative regulation of angiogenesis	-2.117559131	-1.2827292	-0.38229363	-2.198677245	-2.841326371	-1.735440982	-0.344878623	-4.148646342
negative regulation of anion transport	-1.428246655	-1.587186777	-1.492754558	-1.998467072	-0.229692497	-0.023814141	0.053112183	0.009805255
negative regulation of apoptotic signaling pathway	-0.348426743	0.476469267	0.916930325	0.176863555	-1.953240642	-1.412248294	-0.495968531	-1.583199939
negative regulation of axon extension	-2.215327094	-0.663597197	-0.130553874	-2.70118105	-3.473926376	-1.777268793	-0.483759479	-2.147436906
negative regulation of axon extension involved in axon guidance	-1.890849974	-0.381273887	-0.079649391	-1.76419615	-3.392232497	-1.845866031	-0.496968268	-2.046645761
negative regulation of axon guidance	-2.00178004	-0.439730724	-0.10009384	-2.178863872	-3.686753909	-1.937785675	-0.495908177	-2.408879137
negative regulation of axonogenesis	-1.605658777	-0.431152308	-0.151718507	-2.435834656	-5.046870406	-3.147013858	-0.960919539	-2.328079297
negative regulation of blood vessel morphogenesis	-2.536700414	-1.434678728	-0.454409805	-2.460790906	-2.914196663	-1.934886869	-0.441398393	-4.480837008
negative regulation of calcium ion transmembrane transport	-2.055478132	-1.347257811	-1.245524853	-1.615466081	-0.695567501	-0.280454164	0.056224717	-0.927138848
negative regulation of calcium ion transmembrane transporter activity	-2.391158315	-1.614359146	-1.026642465	-2.027371588	-0.743925772	-0.25402095	0.123072371	-1.148387652
negative regulation of calcium ion transport	-1.536286303	-1.472081197	-0.923719493	-1.916934262	-0.256471316	-0.187885531	0.013331827	-1.08131108
negative regulation of cAMP metabolic process	-1.780087914	-1.333882307	-1.328545731	-3.160357486	-1.053665619	-0.138771097	0.130103952	-1.031609305
negative regulation of cartilage development	-2.400207875	-2.211350343	-1.961121212	-2.988877794	-0.94365582	-1.453273547	-0.24003411	-2.179474413
negative regulation of cell cycle process	0.531939469	1.839208302	2.258067254	1.596167091	0.672636672	-0.039217781	0.132268299	0.175574693
negative regulation of cell development	-2.40546162	-0.629634499	-0.061357843	-7.371628726	-12.71588723	-9.455701692	-1.502792137	-10.58182376
negative regulation of cell growth	-0.78903905	0.245680226	0.546852599	-0.602498092	-4.824771841	-2.904794966	-0.341898104	-2.621038471
negative regulation of cell migration	-0.826182973	-0.067624453	-0.044876496	-1.908865142	-2.091890613	-2.456479574	-0.385874228	-2.660278101
negative regulation of cell morphogenesis involved in differentiation	-2.319608881	-0.385709088	-0.085971508	-3.022391975	-6.562646752	-3.569471388	-0.644409304	-4.379476173
negative regulation of cell motility	-0.726773596	-0.029204546	-0.010375009	-1.714983144	-2.083671826	-2.14976621	-0.332214095	-2.495755274
negative regulation of cell projection organization	-1.125453293	0.054264081	0.51876669	-1.910658069	-6.799276181	-4.762156954	-0.254057576	-5.046640027
negative regulation of cellular amide metabolic process	2.909840499	3.915030083	5.747233506	2.059246747	-0.431950223	-0.981306294	-1.053664273	-0.332886928
negative regulation of cellular component movement	-1.485790759	-0.112936265	-0.02052603	-2.56112141	-3.966364564	-3.971548755	-0.836550978	-4.329400284
negative regulation of cellular response to growth factor stimulus	-0.847476367	0.06073105	0.01554273	-1.127806024	-2.319551537	-2.028391851	-0.380598014	-3.573693774
negative regulation of chemotaxis	-1.955371784	-0.627256723	-0.432870997	-1.418058538	-3.473926376	-2.362124322	-0.927226741	-2.776053578
negative regulation of chondrocyte differentiation	-1.628164123	-1.568209295	-1.436379549	-2.160833584	-0.384623458	-0.470539035	-0.095566918	-1.3286082
negative regulation of cyclic nucleotide biosynthetic process	-1.65533034	-1.091100774	-0.779737819	-2.838629698	-1.189935844	-0.252796863	0.074550753	-1.368695343
negative regulation of cyclic nucleotide metabolic process	-2.041210299	-1.475934833	-1.131386457	-3.370218262	-1.068753245	-0.16302469	0.124623916	-1.13517263
negative regulation of developmental growth	-3.696391426	-1.124423228	-0.60133591	-4.897720359	-2.81482387	-1.559566894	-0.689683907	-1.897215494
negative regulation of DNA metabolic process	1.493474617	3.589996527	2.523004982	2.954461874	0.364715669	-0.129172313	-0.100565969	0.018321631
negative regulation of endopeptidase activity	-3.298819165	-2.870055024	-2.18500981	-1.324490564	0.169809688	0.047129255	-0.211108052	0.267903311
negative regulation of epidermal growth factor receptor signaling pathway	1.316238586	2.291172101	1.379292075	0.966599164	-0.128155051	-0.083260458	-0.215496871	-0.127491641
negative regulation of epithelial cell proliferation	-1.426545331	-0.345915264	-0.937989073	-1.629092086	-1.387333567	-0.914889961	-0.183334988	-2.837536193
negative regulation of ERBB signaling pathway	1.357673972	2.320531851	1.333119581	1.014567994	-0.108489161	-0.087498479	-0.230475109	-0.117478528
negative regulation of fat cell differentiation	-0.150787835	-0.013762719	0.113737542	-0.725972217	-3.621024904	-1.808911955	-0.142190562	-2.785103357
"negative regulation of gene expression, epigenetic"	2.685523954	2.945699222	4.294189839	2.782538958	0.103774085	0.137737902	-0.061355257	0.222572698
negative regulation of growth	-1.233763054	-0.00381206	0.190186367	-1.313605373	-4.227031297	-2.898539361	-0.459621527	-3.410603276
negative regulation of immune system process	-4.086095339	-2.095730708	-1.985389914	-1.789137268	-0.378236455	-0.389534487	-0.182140036	-0.348706046
negative regulation of interferon-gamma production	-2.472065265	-1.449119086	-1.021019546	-2.282519806	0.264784705	0.099589198	0.476473059	0.062913243
negative regulation of intracellular signal transduction	0.00341901	1.912474014	3.600332886	0.111903107	-0.301805362	-2.407140095	-0.330921244	-0.98907912
negative regulation of ion transport	-3.127767146	-2.749509288	-2.023628313	-5.449070795	-0.664862954	-0.433859817	-0.012720048	-0.985288429
negative regulation of kidney development	-4.167547617	-0.933995611	-0.759815973	-2.550120524	-1.837802109	-0.603616295	-0.253022052	-0.868923902
negative regulation of kinase activity	0.004138918	1.105078985	3.043676621	-0.076317846	-0.366525534	-2.218213261	-0.586130196	-1.643971416
negative regulation of locomotion	-1.284837957	-0.078874122	-0.004439278	-2.457705498	-3.536357121	-3.214342369	-0.63069422	-3.987695918
negative regulation of lymphocyte mediated immunity	-1.747603406	-1.548943899	-1.097751167	-1.069340323	0.297683178	0.340496569	-0.00780767	1.452373105
negative regulation of nervous system development	-1.526412883	-0.211847734	0.080895465	-6.512358555	-10.57521535	-8.902147577	-1.195284684	-10.0105331
negative regulation of neurogenesis	-1.487144009	-0.229504608	0.082667427	-6.325593296	-11.53400127	-8.765138036	-1.365560241	-9.384335214
negative regulation of neuron apoptotic process	-0.158865677	0.242679679	0.473350121	-0.489561993	-4.227031297	-2.066432432	-0.466720448	-2.286244519
negative regulation of neuron death	-0.09057195	0.30919997	0.560285774	-0.256512365	-4.275212758	-2.911007429	-0.631803096	-2.632755766
negative regulation of neuron differentiation	-2.026729524	-0.228335894	0.094042502	-6.214573181	-10.48801955	-7.892878181	-1.202093217	-8.632961753
negative regulation of neuron projection development	-1.295643438	-0.022915169	0.224283613	-2.276316702	-6.31490652	-4.12846399	-0.256254305	-4.469977338
negative regulation of nucleotide biosynthetic process	-1.631367143	-1.041467414	-0.812154456	-2.65999473	-0.831843995	-0.235019341	0.089419574	-1.41883761
negative regulation of ossification	-0.992343232	-0.232501675	-0.148382898	-1.67719581	-1.604034068	-1.149896556	-1.343655756	-1.127797357
negative regulation of peptidase activity	-3.571867694	-2.954517951	-2.348927941	-1.37036369	0.134950699	0.016929692	-0.254057576	0.245077938
negative regulation of phosphorylation	-0.078898764	1.305454195	2.786241593	-0.181188892	-0.849468378	-4.108348802	-0.93104455	-3.761039147
negative regulation of protein modification by small protein conjugation or removal	1.845929242	2.600116971	1.65501296	4.109749129	0.139214728	0.051006425	0.012465085	0.11516561
negative regulation of protein phosphorylation	-0.063304284	1.527678729	2.878228325	-0.172594542	-0.492267063	-3.342453741	-0.772127624	-2.969070971
negative regulation of protein ubiquitination	1.888322475	2.712785281	1.819433926	4.478378691	0.132736009	-0.009911891	-0.029805896	0.081147177
negative regulation of proteolysis	-1.366733014	-1.674284087	-1.390696955	-0.546690656	0.402385742	0.162545902	-0.070012559	0.191485197
negative regulation of purine nucleotide biosynthetic process	-1.631367143	-1.041467414	-0.812154456	-2.65999473	-0.831843995	-0.235019341	0.089419574	-1.41883761
negative regulation of response to external stimulus	-2.54516297	-0.542114439	-0.270600584	-1.501499503	-2.170000546	-1.284903939	-0.25813094	-2.103273935
negative regulation of transferase activity	0.568090033	3.073157804	4.903175142	1.503947845	-0.023958641	-1.25085226	-0.387996204	-0.560588991
negative regulation of translation	2.937174386	4.106499094	5.748446632	2.113309646	-0.444638397	-0.951985087	-1.080879607	-0.38451876
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	-0.528864841	-0.006047958	-0.020719521	-0.556728256	-1.87229572	-1.432784195	-0.18334819	-2.12181449
negative regulation of transmembrane transport	-2.300439321	-1.199635085	-0.678571666	-2.648938264	-1.227647292	-1.222675503	-0.128547103	-1.350773661
negative regulation of ubiquitin protein ligase activity	1.26615601	1.696088479	1.31546054	3.605968489	0.544051175	0.293613131	0.089419574	0.34498879
negative regulation of ubiquitin-protein transferase activity	1.788026604	2.271158001	1.546991104	4.144398614	0.546492139	0.228573993	0.100393517	0.307437393
negative regulation of vasculature development	-3.332598919	-1.685543954	-0.630336202	-3.2320021	-3.071623702	-2.031879928	-0.39618419	-4.51637049
negative regulation of Wnt signaling pathway	-0.072735946	0.386466971	0.291836444	-0.205524168	-3.448792237	-2.193729814	-0.778392371	-3.453361484
nephric duct development	-1.985506261	-0.365167139	-0.299224945	-3.519333136	-4.637251658	-1.436246178	-0.160016574	-2.671353191
nephron development	-6.914847133	-1.947195536	-0.948162484	-13.12851621	-7.761771575	-6.963237718	-2.713362624	-6.788151305
nephron epithelium development	-6.19877656	-1.689196067	-0.755700877	-11.15695511	-5.735607243	-5.65534682	-2.469075938	-4.864400725
nephron epithelium morphogenesis	-7.570528374	-2.274935845	-1.237743126	-13.77934232	-3.723745188	-4.420605343	-1.349357431	-3.890399105
nephron morphogenesis	-8.069775016	-2.399693537	-1.39499116	-14.2472445	-3.883281722	-4.88671849	-1.399958205	-4.104041527
nephron tubule development	-7.968886475	-2.460208523	-1.261067795	-12.75121467	-5.756614466	-5.78785073	-2.441568998	-4.456001694
nephron tubule epithelial cell differentiation	-1.829048292	-0.084556287	-0.053697751	-3.07184799	-3.733263221	-1.678380702	-0.95481444	-2.108715414
nephron tubule formation	-3.970529034	-1.06641224	-0.576836689	-5.856371159	-3.960089315	-2.270957246	-0.953729091	-2.322595812
nephron tubule morphogenesis	-7.149509892	-2.076545078	-1.102574443	-13.12009841	-3.530282596	-3.831950666	-1.252037367	-3.654147516
nerve development	-2.944579549	-0.483580102	-0.166860599	-4.917211156	-5.298087718	-2.657125702	-0.999882735	-3.559485938
neural crest cell development	-2.686289214	-0.932882638	-0.291046469	-5.560710965	-4.227031297	-2.920886365	-0.516748795	-3.627812805
neural crest cell differentiation	-2.686289214	-0.817601708	-0.275066855	-5.050753279	-4.097646204	-3.298183005	-0.622509546	-3.65181125
neural crest cell migration	-3.021453913	-0.978394477	-0.364823467	-3.999700449	-5.773990601	-3.30540103	-0.778392371	-3.024602877
neural precursor cell proliferation	-0.415971022	0.058548506	0.462046877	-0.898380248	-2.756242356	-2.285292043	-0.272813932	-2.463180892
neural retina development	-1.015546161	-0.557116867	-0.567881966	-2.828525097	-2.566204579	-3.569471388	-1.351289858	-1.375772276
neuroepithelial cell differentiation	-1.421813585	-0.300176119	0.061913627	-2.877234454	-3.430789072	-2.331573188	-0.319536497	-4.211365415
neuromuscular process	-0.232977781	-0.309705892	-0.166944391	-3.740376276	-1.716357089	-1.030528746	-0.003613823	-1.353804026
neuromuscular process controlling balance	-0.003855069	-0.019245857	0.025603226	-1.442881947	-2.145708688	-1.580062051	-0.130124352	-1.126553928
neuron apoptotic process	-0.297651457	0.33898452	0.773160789	-0.536175735	-3.507819886	-1.530687346	-0.286568561	-2.396616461
neuron death	0.02277571	0.994480807	1.395867216	-0.038892412	-3.009935172	-2.08584124	-0.436538791	-1.547003102
neuron fate commitment	-4.572836965	-2.671932276	-0.712025456	-14.67771086	-7.482961875	-1.78307119	-0.335118437	-6.270438775
neuron fate specification	-4.725421618	-2.770181911	-1.118264206	-14.70967276	-2.091890613	-0.541417273	-0.190167675	-3.679849132
neuron migration	-1.353942487	-0.108431832	0.079649391	-6.065494064	-4.353294978	-1.462023897	-0.561043565	-4.662879652
neuron projection extension	-0.335313365	0.16249388	0.573995152	-2.09860534	-5.867609873	-2.493783801	-0.546359421	-2.460492339
neuron projection extension involved in neuron projection guidance	-2.702845998	-0.562145169	-0.202171004	-4.959504798	-6.245319513	-2.732056997	-0.815380121	-3.155421001
neuron projection guidance	-5.578622806	-0.542114439	-0.146376741	-15.65410824	-15.94807581	-7.715394311	-1.587911047	-12.38469214
